61.146351,18.694079
41.653605,12.731814
38.689596,11.147221
30.162329,9.058038
30.153680,8.866146
29.013322,8.595278
25.824173,7.629583
25.927126,7.677745
26.272376,7.822768
27.753949,8.007893
24.297497,6.999418
23.051673,6.820783
24.721412,7.487518
24.651014,7.177094
24.662004,7.199694
22.884731,6.775856
25.130841,7.435160
21.962204,6.449547
23.139058,7.019140
24.753253,7.437642
22.891572,6.663274
23.046527,6.616806
22.064928,6.647600
22.488179,6.713163
22.712415,6.717790
23.255752,6.703789
24.004564,7.018126
21.849000,6.413380
22.013545,6.521323
23.800831,7.132961
21.068983,6.166063
22.329416,6.548215
22.240097,6.607303
21.448357,6.564667
21.577792,6.478798
21.967310,6.567164
22.446155,6.588264
24.120510,7.294978
22.404066,6.658804
22.096166,6.703864
21.890244,6.473116
22.612057,6.657907
21.687679,6.471401
21.982238,6.743510
21.527858,6.494345
23.591364,7.161453
24.117917,6.966131
21.833858,6.658177
21.184814,6.291227
21.704105,6.545760
22.446758,6.665812
23.304509,7.075399
22.955350,6.880857
23.100607,6.816942
22.631721,6.795839
23.838576,7.173302
22.486506,6.811023
23.145805,6.998143
21.142824,6.473419
23.301885,7.073996
